InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV536365,P10177,WICKER BASKET 178,4,2011-12-03,3.25,C10655,United Kingdom
INV536366,P10137,WICKER BASKET 138,3,2011-03-23,5.95,C10440,United Kingdom
INV536367,P10179,LINEN NAPKIN SET 180,36,2011-09-29,2.1,C11981,United Kingdom
INV536368,P10177,WICKER BASKET 178,3,2011-10-07,3.25,C10273,France
INV536369,P10177,WICKER BASKET 178,1,2011-05-06,3.25,C13974,France
INV536370,P10042,WOODEN FRAME 43,1,2011-08-01,1.25,C12939,United Kingdom
INV536371,P10177,WICKER BASKET 178,12,2011-06-02,3.25,C13301,United Kingdom
INV536372,P10177,WICKER BASKET 178,3,2011-03-12,3.25,C12996,Spain
INV536373,P10179,LINEN NAPKIN SET 180,24,2011-10-10,2.1,C10952,United Kingdom
INV536374,P10177,WICKER BASKET 178,36,2011-09-21,3.25,C13887,United Kingdom
INV536375,P10073,SCENTED CANDLE 74,36,2011-11-18,7.95,C11177,United Kingdom
INV536376,P10177,WICKER BASKET 178,24,2011-08-14,3.25,C12502,United Kingdom
INV536377,P10177,WICKER BASKET 178,12,2011-04-29,3.25,C10049,Germany
INV536378,P10177,WICKER BASKET 178,5,2011-09-26,3.25,C13902,United Kingdom
INV536379,P10177,WICKER BASKET 178,36,2011-08-14,3.25,C13242,United Kingdom
INV536380,P10177,WICKER BASKET 178,8,2011-08-13,3.25,C12801,United Kingdom
INV536381,P10177,WICKER BASKET 178,5,2011-11-07,3.25,C13120,United Kingdom
INV536382,P10177,WICKER BASKET 178,12,2011-11-20,3.25,C11917,United Kingdom
INV536383,P10177,WICKER BASKET 178,8,2011-01-14,3.25,C10477,United Kingdom
INV536384,P10177,WICKER BASKET 178,3,2011-03-26,3.25,C12162,United Kingdom
INV536385,P10177,WICKER BASKET 178,2,2011-08-31,3.25,C13415,United Kingdom
INV536386,P10177,WICKER BASKET 178,1,2011-07-13,3.25,C12496,United Kingdom
INV536387,P10177,WICKER BASKET 178,36,2011-09-01,3.25,C13320,United Kingdom
INV536388,P10177,WICKER BASKET 178,1,2011-05-17,3.25,C10443,United Kingdom
INV536389,P10177,WICKER BASKET 178,8,2011-05-09,3.25,C13609,United Kingdom
INV536390,P10177,WICKER BASKET 178,3,2010-12-24,3.25,C10598,United Kingdom
INV536391,P10177,WICKER BASKET 178,3,2011-08-17,3.25,C11378,United Kingdom
INV536392,P10177,WICKER BASKET 178,1,2011-01-11,3.25,C10409,United Kingdom
INV536393,P10177,WICKER BASKET 178,1,2011-09-08,3.25,C13103,United Kingdom
INV536394,P10177,WICKER BASKET 178,2,2011-12-03,3.25,C12535,United Kingdom
C536395,P10177,WICKER BASKET 178,-6,2011-02-28,3.25,C10733,United Kingdom
C536396,P10019,RECYCLED ACRYLIC JEWEL BRACELET,-2,2010-12-29,2.95,C12780,United Kingdom
INV536397,P10177,WICKER BASKET 178,5,2010-12-05,3.25,C11050,United Kingdom
INV536398,P10038,PORCELAIN BOWL 39,120,2011-04-25,5.95,C12184,United Kingdom
INV536399,P10168,PORCELAIN BOWL 169,3,2011-02-01,1.25,C12276,United Kingdom
INV536400,P10177,WICKER BASKET 178,24,2011-06-11,3.25,C11109,United Kingdom
INV536401,P10177,WICKER BASKET 178,1,2011-06-26,3.25,C13610,United Kingdom
INV536402,P10019,RECYCLED ACRYLIC JEWEL BRACELET,2,2011-04-11,2.95,C12511,United Kingdom
INV536403,P10019,RECYCLED ACRYLIC JEWEL BRACELET,4,2011-10-08,2.95,C13638,Spain
INV536404,P10177,WICKER BASKET 178,2,2011-11-19,3.25,C11628,United Kingdom
INV536405,P10168,PORCELAIN BOWL 169,2,2011-01-30,1.25,C10491,United Kingdom
INV536406,P10006,LUNCH BAG RED RETROSPOT,3,2011-11-03,1.65,C11889,United Kingdom
INV536407,P10177,WICKER BASKET 178,5,2010-12-27,3.25,C11663,United Kingdom
INV536408,P10177,WICKER BASKET 178,2,2011-02-10,3.25,C13219,United Kingdom
INV536380,P10177,WICKER BASKET 178,2,2011-07-15,3.25,C12801,United Kingdom
INV536409,P10056,METAL LANTERN 57,36,2011-03-23,1.65,C11579,Germany
INV536410,P10177,WICKER BASKET 178,2,2010-12-09,3.25,C10180,United Kingdom
INV536411,P10177,WICKER BASKET 178,6,2011-03-18,3.25,C13931,United Kingdom
INV536412,P10177,WICKER BASKET 178,10,2011-11-19,3.25,C12128,United Kingdom
INV536413,P10177,WICKER BASKET 178,5,2011-01-11,3.25,C11306,United Kingdom
INV536414,P10177,WICKER BASKET 178,8,2011-10-12,3.25,C12077,United Kingdom
INV536415,P10177,WICKER BASKET 178,72,2011-09-29,3.25,C10439,United Kingdom
INV536416,P10177,WICKER BASKET 178,2,2010-12-22,3.25,C13585,United Kingdom
INV536417,P10062,WOODEN FRAME 63,2,2011-04-02,7.95,C11758,United Kingdom
INV536418,P10177,WICKER BASKET 178,3,2011-01-19,3.25,C11709,United Kingdom
INV536419,P10177,WICKER BASKET 178,5,2010-12-05,3.25,C11392,United Kingdom
INV536420,P10177,WICKER BASKET 178,1,2011-01-10,3.25,C10420,United Kingdom
INV536421,P10177,WICKER BASKET 178,1,2011-01-25,3.25,C11446,United Kingdom
INV536422,P10177,WICKER BASKET 178,1,2011-01-06,3.25,C11998,United Kingdom
INV536380,P10177,WICKER BASKET 178,1,2010-12-19,3.25,C12801,United Kingdom
INV536423,P10177,WICKER BASKET 178,1,2011-06-27,3.25,C11826,United Kingdom
INV536381,P10177,WICKER BASKET 178,4,2011-03-30,3.25,C13120,United Kingdom
INV536424,P10177,WICKER BASKET 178,4,2011-11-20,3.25,,United Kingdom
INV536425,P10179,LINEN NAPKIN SET 180,3,2011-01-17,2.1,C12904,United Kingdom
INV536426,P10177,WICKER BASKET 178,1,2011-08-06,3.25,C12314,United Kingdom
INV536427,P10038,PORCELAIN BOWL 39,24,2011-11-18,5.95,C12382,United Kingdom
INV536428,P10177,WICKER BASKET 178,6,2010-12-10,3.25,C13918,United Kingdom
INV536429,P10177,WICKER BASKET 178,1,2011-06-22,3.25,C11198,United Kingdom
INV536430,P10177,WICKER BASKET 178,4,2011-05-24,3.25,C13110,United Kingdom
INV536431,P10177,WICKER BASKET 178,1,2011-11-25,3.25,C11461,United Kingdom
INV536432,P10035,SILK CUSHION 36,3,2011-09-06,7.95,C11628,United Kingdom
INV536433,P10177,WICKER BASKET 178,8,2011-04-11,3.25,C11661,United Kingdom
INV536434,P10177,WICKER BASKET 178,4,2011-09-25,3.25,C13365,United Kingdom
INV536435,P10177,WICKER BASKET 178,1,2011-07-26,3.25,C10237,Germany
INV536436,P10107,WICKER BASKET 108,10,2011-04-10,6.95,C10400,United Kingdom
INV536437,P10177,WICKER BASKET 178,1,2011-10-19,3.25,C11579,Germany
INV536428,P10177,WICKER BASKET 178,3,2011-09-07,3.25,C13918,United Kingdom
INV536438,P10177,WICKER BASKET 178,3,2010-12-02,3.25,C12903,United Kingdom
INV536387,P10137,WICKER BASKET 138,8,2011-11-10,5.95,C13320,United Kingdom
INV536439,P10177,WICKER BASKET 178,72,2011-05-03,3.25,C12474,France
INV536440,P10177,WICKER BASKET 178,3,2011-08-28,3.25,C10061,Australia
INV536441,P10177,WICKER BASKET 178,5,2011-05-03,3.25,C13709,United Kingdom
INV536442,P10019,RECYCLED ACRYLIC JEWEL BRACELET,4,2011-11-14,2.95,C10288,Netherlands
INV536443,P10177,WICKER BASKET 178,1,2011-08-31,3.25,C11057,United Kingdom
INV536444,P10177,WICKER BASKET 178,8,2011-07-24,3.25,C10489,United Kingdom
INV536445,P10177,WICKER BASKET 178,4,2011-12-06,3.25,C12980,United Kingdom
INV536434,P10177,WICKER BASKET 178,4,2011-03-11,3.25,C13365,United Kingdom
INV536446,P10177,WICKER BASKET 178,2,2010-12-14,3.25,C10596,Spain
INV536447,P10177,WICKER BASKET 178,12,2011-06-22,3.25,C12803,United Kingdom
INV536448,P10019,RECYCLED ACRYLIC JEWEL BRACELET,5,2011-05-14,2.95,,United Kingdom
INV536449,P10019,RECYCLED ACRYLIC JEWEL BRACELET,2,2011-05-26,2.95,C10952,United Kingdom
INV536450,P10177,WICKER BASKET 178,3,2011-08-15,3.25,C12450,United Kingdom
INV536451,P10019,RECYCLED ACRYLIC JEWEL BRACELET,2,2011-08-12,2.95,C13966,United Kingdom
INV536452,P10019,RECYCLED ACRYLIC JEWEL BRACELET,5,2011-05-01,2.95,C12896,Belgium
INV536453,P10177,WICKER BASKET 178,8,2011-11-10,3.25,C11913,France
INV536454,P10168,PORCELAIN BOWL 169,2,2011-09-01,1.25,C13898,United Kingdom
INV536455,P10177,WICKER BASKET 178,8,2011-11-16,3.25,C13196,Germany
INV536456,P10177,WICKER BASKET 178,24,2011-11-21,3.25,C12914,United Kingdom
C536457,P10042,WOODEN FRAME 43,-3,2011-01-07,1.25,C11827,Switzerland
INV536386,P10177,WICKER BASKET 178,2,2011-09-12,3.25,C12496,United Kingdom
INV536458,P10177,WICKER BASKET 178,24,2011-03-28,3.25,C10406,United Kingdom
INV536459,P10177,WICKER BASKET 178,1,2011-11-03,3.25,C12827,United Kingdom
INV536460,P10179,LINEN NAPKIN SET 180,3,2011-10-03,2.1,C11032,United Kingdom
INV536461,P10177,WICKER BASKET 178,8,2011-01-24,3.25,C10942,United Kingdom
INV536462,P10177,WICKER BASKET 178,1,2011-11-27,3.25,C11745,United Kingdom
INV536463,P10177,WICKER BASKET 178,5,2011-09-13,3.25,C10501,United Kingdom
INV536464,P10177,WICKER BASKET 178,10,2011-11-29,3.25,C10082,United Kingdom
INV536465,P10177,WICKER BASKET 178,2,2011-01-25,3.25,C11995,United Kingdom
INV536466,P10177,WICKER BASKET 178,2,2011-11-11,3.25,C12602,Spain
INV536467,P10177,WICKER BASKET 178,1,2011-09-07,3.25,C11705,United Kingdom
INV536468,P10177,WICKER BASKET 178,4,2011-07-10,3.25,C10722,France
INV536469,P10177,WICKER BASKET 178,1,2011-10-31,3.25,C11774,United Kingdom
INV536470,P10019,RECYCLED ACRYLIC JEWEL BRACELET,1,2011-08-22,2.95,C13854,United Kingdom
