CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
C10000,4,2,291.9,4,3,4,11,Loyal Customers
C10001,184,1,16.25,2,1,2,5,Lost
C10002,170,1,21.85,2,1,2,5,Lost
C10003,61,2,55.25,3,3,3,9,Loyal Customers
C10004,9,1,9.75,4,1,1,6,New Customers
C10005,81,1,7.45,2,1,1,4,Lost
C10006,37,2,86.15,3,3,3,9,Loyal Customers
C10007,14,2,16.25,4,3,2,9,Loyal Customers
C10008,85,3,43.85,2,4,3,9,At Risk
C10009,90,1,10.9,2,1,2,5,Lost
C10010,208,2,39.0,1,3,3,7,Cant Lose Them
C10011,44,1,40.2,3,1,3,7,Potential Loyalists
C10012,173,1,136.5,2,1,4,7,Lost
C10013,28,1,61.75,3,1,3,7,Potential Loyalists
C10014,76,2,6.5,2,3,1,6,At Risk
C10015,58,2,12.15,3,3,2,8,Loyal Customers
C10016,362,2,45.5,1,3,3,7,Cant Lose Them
C10017,37,3,181.35,3,4,4,11,Loyal Customers
C10018,49,5,175.5,3,4,4,11,Loyal Customers
C10019,11,2,60.45,4,3,3,10,Loyal Customers
C10020,37,1,9.75,3,1,1,5,Potential Loyalists
C10021,11,1,15.1,4,1,2,7,New Customers
C10022,181,1,16.25,2,1,2,5,Lost
C10023,93,1,40.05,2,1,3,6,Lost
C10024,13,2,32.5,4,3,3,10,Loyal Customers
C10025,2,20,1839.0,4,4,4,12,Champions
C10026,35,1,121.65,3,1,4,8,Potential Loyalists
C10027,272,1,6.5,1,1,1,3,Lost
C10028,178,2,19.5,2,3,2,7,At Risk
C10029,35,2,31.4,3,3,3,9,Loyal Customers
C10030,20,1,71.0,3,1,3,7,Potential Loyalists
C10031,107,2,16.25,2,3,2,7,At Risk
C10032,18,1,88.1,4,1,3,8,New Customers
C10033,21,2,32.5,3,3,3,9,Loyal Customers
C10034,105,2,126.75,2,3,4,9,At Risk
C10035,129,1,11.5,2,1,2,5,Lost
C10036,35,1,30.05,3,1,3,7,Potential Loyalists
C10037,159,2,45.5,2,3,3,8,At Risk
C10038,285,1,42.25,1,1,3,5,Lost
C10039,29,1,87.75,3,1,3,7,Potential Loyalists
C10040,3,1,305.4,4,1,4,9,New Customers
C10041,132,1,9.2,2,1,1,4,Lost
C10042,164,1,58.5,2,1,3,6,Lost
C10043,149,1,45.5,2,1,3,6,Lost
C10044,3,1,38.4,4,1,3,8,New Customers
C10045,10,4,181.55,4,4,4,12,Champions
C10046,172,1,32.550000000000004,2,1,3,6,Lost
C10047,39,2,48.75,3,3,3,9,Loyal Customers
C10048,138,1,64.45,2,1,3,6,Lost
C10049,1,25,3387.35,4,4,4,12,Champions
C10050,5,3,31.4,4,4,3,11,Loyal Customers
C10051,19,1,133.25,4,1,4,9,New Customers
C10052,25,2,163.65,3,3,4,10,Loyal Customers
C10053,170,1,601.5,2,1,4,7,Lost
C10054,216,1,13.0,1,1,2,4,Lost
C10055,27,1,9.75,3,1,1,5,Potential Loyalists
C10056,98,1,71.15,2,1,3,6,Lost
